episode,step,reward,min_range,v,w,timestamp
1,1,-0.098,0.7690412402153015,-0.08,-0.9,1762042295.5312548
1,2,-0.098,0.7689629793167114,-0.08,-0.9,1762042295.6312346
1,3,-0.098,0.7690184116363525,-0.08,-0.9,1762042295.731259
1,4,0.156,0.7692599892616272,0.18,1.2,1762042295.8312285
1,5,-0.098,0.7691471576690674,-0.08,0.9,1762042295.9312623
1,6,-0.098,0.7697745561599731,-0.08,0.9,1762042296.0312152
1,7,-0.098,0.7714258432388306,-0.08,0.9,1762042296.1312711
1,8,-0.098,0.775793194770813,-0.08,0.9,1762042296.23122
1,9,-0.098,0.7776200175285339,-0.08,0.9,1762042296.3312504
1,10,-0.098,0.7783864140510559,-0.08,0.9,1762042296.43128
1,11,-0.098,0.7785835862159729,-0.08,0.9,1762042296.531252
1,12,-0.098,0.7785182595252991,-0.08,0.9,1762042296.6312587
1,13,0.156,0.7785140872001648,0.18,1.2,1762042296.731236
1,14,-0.098,0.778518557548523,-0.08,-0.9,1762042296.8312526
1,15,-0.098,0.778518557548523,-0.08,-0.9,1762042296.9312432
1,16,-0.098,0.778518557548523,-0.08,-0.9,1762042297.0312552
1,17,-0.098,0.7785155773162842,-0.08,-0.9,1762042297.131217
1,18,-0.098,0.7784687876701355,-0.08,-0.9,1762042297.2312472
1,19,-0.098,0.7784796953201294,-0.08,-0.9,1762042297.3312418
1,20,-0.098,0.778495192527771,-0.08,-0.9,1762042297.4312675
1,21,-0.098,0.7785165309906006,-0.08,-0.9,1762042297.531231
1,22,-0.098,0.7785183787345886,-0.08,-0.9,1762042297.631287
1,23,0.156,0.7785186767578125,0.18,1.2,1762042297.731233
1,24,-0.098,0.7784716486930847,-0.08,0.9,1762042297.8312597
1,25,-0.098,0.7783576846122742,-0.08,0.9,1762042297.9312425
1,26,-0.098,0.7783576846122742,-0.08,0.9,1762042298.0312471
1,27,-0.098,0.7783576846122742,-0.08,0.9,1762042298.1312182
1,28,-0.098,0.7783576846122742,-0.08,0.9,1762042298.231276
1,29,-0.098,0.7783576846122742,-0.08,0.9,1762042298.3312445
1,30,-0.098,0.7783576846122742,-0.08,0.9,1762042298.4312804
1,31,-0.098,0.7783576846122742,-0.08,0.9,1762042298.5312252
1,32,0.156,0.7783576846122742,0.18,1.2,1762042298.6312542
1,33,-0.098,0.7781147956848145,-0.08,-0.9,1762042298.7312405
1,34,-0.098,0.7781617641448975,-0.08,-0.9,1762042298.831262
1,35,-0.098,0.7782541513442993,-0.08,-0.9,1762042298.9312463
1,36,-0.098,0.7782619595527649,-0.08,-0.9,1762042299.0312207
1,37,-0.098,0.7782619595527649,-0.08,-0.9,1762042299.1312163
1,38,-0.098,0.7782619595527649,-0.08,-0.9,1762042299.2312531
1,39,-0.098,0.7782619595527649,-0.08,-0.9,1762042299.3312788
1,40,-0.098,0.7782619595527649,-0.08,-0.9,1762042299.431269
1,41,-0.098,0.7782619595527649,-0.08,-0.9,1762042299.53124
1,42,0.156,0.778282642364502,0.18,1.2,1762042299.63129
1,43,-0.098,0.7781080603599548,-0.08,0.9,1762042299.7312374
1,44,-0.098,0.7780777215957642,-0.08,0.9,1762042299.8312213
1,45,-0.098,0.7780014276504517,-0.08,0.9,1762042299.9312272
1,46,-0.098,0.7779449820518494,-0.08,0.9,1762042300.0312579
1,47,-0.098,0.779803991317749,-0.08,0.9,1762042300.1312122
1,48,-0.098,0.7819851040840149,-0.08,0.9,1762042300.231248
1,49,-0.098,0.7863622307777405,-0.08,0.9,1762042300.3312275
1,50,-0.098,0.7884530425071716,-0.08,0.9,1762042300.431228
1,51,-0.098,0.7927722930908203,-0.08,0.9,1762042300.5312192
1,52,0.156,0.7948358058929443,0.18,1.2,1762042300.631245
1,53,-0.098,0.7947043776512146,-0.08,-0.9,1762042300.7312021
1,54,-0.098,0.7947789430618286,-0.08,-0.9,1762042300.8312576
1,55,-0.098,0.7947789430618286,-0.08,-0.9,1762042300.931215
1,56,-0.098,0.7947789430618286,-0.08,-0.9,1762042301.0312545
1,57,-0.098,0.7948066592216492,-0.08,-0.9,1762042301.1312335
1,58,-0.098,0.794827401638031,-0.08,-0.9,1762042301.2312355
1,59,-0.098,0.794879138469696,-0.08,-0.9,1762042301.3312063
1,60,-0.098,0.7948984503746033,-0.08,-0.9,1762042301.4312165
1,61,-0.098,0.7948984503746033,-0.08,-0.9,1762042301.5312166
1,62,0.156,0.7949032187461853,0.18,1.2,1762042301.6312232
1,63,-0.098,0.7950188517570496,-0.08,0.9,1762042301.7312357
1,64,-0.098,0.7961766123771667,-0.08,0.9,1762042301.831276
1,65,-0.098,0.7973111271858215,-0.08,0.9,1762042301.9312143
1,66,-0.098,0.7995426058769226,-0.08,0.9,1762042302.031208
1,67,-0.098,0.8005975484848022,-0.08,0.9,1762042302.1312747
1,68,-0.098,0.8021978139877319,-0.08,0.9,1762042302.231251
1,69,-0.098,0.8026683330535889,-0.08,0.9,1762042302.3312201
1,70,-0.098,0.8026072382926941,-0.08,0.9,1762042302.4312146
1,71,0.156,0.8025883436203003,0.18,1.2,1762042302.5312514
1,72,-0.098,0.8024306297302246,-0.08,-0.9,1762042302.6312468
1,73,-0.098,0.8023754954338074,-0.08,-0.9,1762042302.7312346
1,74,-0.098,0.8024346828460693,-0.08,-0.9,1762042302.8312318
1,75,-0.098,0.8024359941482544,-0.08,-0.9,1762042302.93125
1,76,-0.098,0.8024342656135559,-0.08,-0.9,1762042303.031231
1,77,-0.098,0.8024312853813171,-0.08,-0.9,1762042303.1312604
1,78,-0.098,0.8025036454200745,-0.08,-0.9,1762042303.231281
1,79,-0.098,0.8025340437889099,-0.08,-0.9,1762042303.3312418
1,80,0.156,0.8025941252708435,0.18,1.2,1762042303.4312124
1,81,-0.098,0.8025660514831543,-0.08,0.9,1762042303.531229
1,82,-0.098,0.8018050193786621,-0.08,0.9,1762042303.6312313
1,83,-0.098,0.8017988801002502,-0.08,0.9,1762042303.7312577
1,84,-0.098,0.8017992973327637,-0.08,0.9,1762042303.8312433
1,85,-0.098,0.8017961978912354,-0.08,0.9,1762042303.9312632
1,86,-0.098,0.801799476146698,-0.08,0.9,1762042304.0312574
1,87,-0.098,0.8018006086349487,-0.08,0.9,1762042304.1312156
1,88,-0.098,0.8018015027046204,-0.08,0.9,1762042304.2312644
1,89,-0.098,0.8018007278442383,-0.08,0.9,1762042304.3313303
1,90,0.156,0.8017971515655518,0.18,1.2,1762042304.4312627
1,91,-0.098,0.8014801740646362,-0.08,-0.9,1762042304.5313027
1,92,-0.098,0.8000035285949707,-0.08,-0.9,1762042304.6312287
1,93,-0.098,0.8001876473426819,-0.08,-0.9,1762042304.7312534
1,94,-0.098,0.8002490401268005,-0.08,-0.9,1762042304.8312445
1,95,-0.098,0.8002795577049255,-0.08,-0.9,1762042304.9312704
1,96,-0.098,0.800344705581665,-0.08,-0.9,1762042305.0312488
1,97,-0.098,0.8003720641136169,-0.08,-0.9,1762042305.1312256
1,98,-0.098,0.8004336357116699,-0.08,-0.9,1762042305.2312372
1,99,-0.098,0.800467848777771,-0.08,-0.9,1762042305.3312364
1,100,0.156,0.8005692958831787,0.18,1.2,1762042305.4312358
1,101,-0.098,0.8004087209701538,-0.08,0.9,1762042305.5312445
1,102,-0.098,0.8003935217857361,-0.08,0.9,1762042305.6312187
1,103,-0.098,0.8003915548324585,-0.08,0.9,1762042305.7312622
1,104,-0.098,0.8014692664146423,-0.08,0.9,1762042305.8312309
1,105,-0.098,0.8015683889389038,-0.08,0.9,1762042305.9312527
1,106,-0.098,0.8025261163711548,-0.08,0.9,1762042306.0312161
1,107,-0.098,0.8032792806625366,-0.08,0.9,1762042306.1312628
1,108,-0.098,0.8036913871765137,-0.08,0.9,1762042306.2312357
1,109,-0.098,0.8036689162254333,-0.08,0.9,1762042306.3312266
1,110,0.156,0.8039825558662415,0.18,1.2,1762042306.431264
1,111,-0.098,0.803902268409729,-0.08,-0.9,1762042306.531237
1,112,-0.098,0.8038192391395569,-0.08,-0.9,1762042306.6312084
1,113,-0.098,0.8038192391395569,-0.08,-0.9,1762042306.7312427
1,114,-0.098,0.8038192391395569,-0.08,-0.9,1762042306.8312073
1,115,-0.098,0.8038192391395569,-0.08,-0.9,1762042306.9312463
1,116,-0.098,0.8038209080696106,-0.08,-0.9,1762042307.0312173
1,117,-0.098,0.8038178086280823,-0.08,-0.9,1762042307.1312313
1,118,-0.098,0.8038460612297058,-0.08,-0.9,1762042307.2312143
1,119,0.156,0.8038460612297058,0.18,1.2,1762042307.3312438
1,120,-0.098,0.803836464881897,-0.08,0.9,1762042307.431188
1,121,-0.098,0.8046672940254211,-0.08,0.9,1762042307.5312145
1,122,-0.098,0.8053032755851746,-0.08,0.9,1762042307.6312447
1,123,-0.098,0.8063393235206604,-0.08,0.9,1762042307.7312331
1,124,-0.098,0.8069511651992798,-0.08,0.9,1762042307.831221
1,125,-0.098,0.8093999028205872,-0.08,0.9,1762042307.9312384
1,126,-0.098,0.8099368214607239,-0.08,0.9,1762042308.0312376
1,127,-0.098,0.8097255229949951,-0.08,0.9,1762042308.1312277
1,128,-0.098,0.8095853924751282,-0.08,0.9,1762042308.2312174
1,129,0.156,0.8094483017921448,0.18,1.2,1762042308.331216
1,130,-0.098,0.8093759417533875,-0.08,-0.9,1762042308.4312363
1,131,-0.098,0.8092793822288513,-0.08,-0.9,1762042308.5312395
1,132,-0.098,0.8093250393867493,-0.08,-0.9,1762042308.631238
1,133,-0.098,0.8094898462295532,-0.08,-0.9,1762042308.73122
1,134,-0.098,0.8094898462295532,-0.08,-0.9,1762042308.8312798
1,135,-0.098,0.8094898462295532,-0.08,-0.9,1762042308.9312449
1,136,-0.098,0.8094898462295532,-0.08,-0.9,1762042309.0312455
1,137,-0.098,0.8094898462295532,-0.08,-0.9,1762042309.131245
1,138,0.156,0.8094898462295532,0.18,1.2,1762042309.2312512
1,139,-0.098,0.8094203472137451,-0.08,0.9,1762042309.3312435
1,140,-0.098,0.8094009160995483,-0.08,0.9,1762042309.4312155
1,141,-0.098,0.8094009160995483,-0.08,0.9,1762042309.5312343
1,142,-0.098,0.8094009160995483,-0.08,0.9,1762042309.631228
